ASIN,Folder,Category,Base,Species/Flavour,Pack,Net weight,UPC,Vendor cost CAD,Website retail CAD,Availability,Listing URL
B0856ZDR63,B0856ZDR63_Summer-Sausage-Chubb-1lb,Summer Sausage,Beef & Pork,Original,1 chubb,1 lb (454 g),691392140018,19.00,22.99,Temporarily unavailable,https://www.amazon.ca/dp/B0856ZDR63
B0G4SK5FH6,B0G4SK5FH6_Original-Summer-Sausage-750g,Summer Sausage,Beef & Pork,Original,1,750 g,691392110011,28.00,34.99,Available,https://www.amazon.ca/dp/B0G4SK5FH6
B0G4SL5STQ,B0G4SL5STQ_Original-Pepperoni-200g,Pepperoni,Beef & Pork,Original,8 sticks,200 g,691392410036,11.00,,Temporarily unavailable,https://www.amazon.ca/dp/B0G4SL5STQ
B0G4SHBQSV,B0G4SHBQSV_Honey-Garlic-Pepperoni-200g,Pepperoni,Beef & Pork,Honey Garlic,8 sticks,200 g,691392420035,11.00,,Temporarily unavailable,https://www.amazon.ca/dp/B0G4SHBQSV
B0G4SKZLJG,B0G4SKZLJG_Dill-Pickle-Pepperoni-200g,Pepperoni,Beef & Pork,Dill Pickle,8 sticks,200 g,691392450032,11.00,,Available,https://www.amazon.ca/dp/B0G4SKZLJG
B0G4SLCJMX,B0G4SLCJMX_Smokey-BBQ-Pepperoni-200g,Pepperoni,Beef & Pork,Smokey BBQ,8 sticks,200 g,691392440033,11.00,,Available,https://www.amazon.ca/dp/B0G4SLCJMX
B0G4SJJK1F,B0G4SJJK1F_Spicy-Chipotle-Pepperoni-200g,Pepperoni,Beef & Pork,Spicy Chipotle,8 sticks,200 g,691392430034,11.00,,Available,https://www.amazon.ca/dp/B0G4SJJK1F
B0858JH8R9,B0858JH8R9_GrassFed-Beef-Stix-Mild-125g,Grass-Fed Angus Snack Sticks,Grass-Fed Angus Beef & Pork,Mild,5 sticks,125 g,691392521015,10.08,12.99,Available,https://www.amazon.ca/dp/B0858JH8R9
B0FBSDH627,B0FBSDH627_GrassFed-Beef-Stix-Hot-125g,Grass-Fed Angus Snack Sticks,Grass-Fed Angus Beef & Pork,Hot,5 sticks,125 g,691392522012,10.08,12.99,Available,https://www.amazon.ca/dp/B0FBSDH627
B0FBS9XQWS,B0FBS9XQWS_Elk-Stix-125g,Game Meat Snack Sticks,Elk + Pork & Beef,Elk,5 sticks,125 g,691392382012,10.08,12.99,Available,https://www.amazon.ca/dp/B0FBS9XQWS
B0FBSF8K9K,B0FBSF8K9K_Venison-Stix-125g,Game Meat Snack Sticks,Venison + Pork & Beef,Venison,5 sticks,125 g,691392383019,10.08,,Available,https://www.amazon.ca/dp/B0FBSF8K9K
B0FBSF8RB3,B0FBSF8RB3_WildBoar-Stix-125g,Game Meat Snack Sticks,Wild Boar + Pork & Beef,Wild Boar,5 sticks,125 g,691392386010,10.08,,Available,https://www.amazon.ca/dp/B0FBSF8RB3
B0G4VRMHXN,B0G4VRMHXN_Kangaroo-Stix-125g,Game Meat Snack Sticks,Kangaroo + Pork & Beef,Kangaroo,5 sticks,125 g,691392384016,10.08,,Temporarily unavailable,https://www.amazon.ca/dp/B0G4VRMHXN
B0FBS8HKM5,B0FBS8HKM5_Bison-Salami-125g,Game Meat Sliced Salami,Bison + Pork & Beef,Bison,sliced,125 g,691392231013,10.08,13.99,Available,https://www.amazon.ca/dp/B0FBS8HKM5
B0FBSBCHTQ,B0FBSBCHTQ_Elk-Salami-125g,Game Meat Sliced Salami,Elk + Pork & Beef,Elk,sliced,125 g,691392231020,10.08,,Available,https://www.amazon.ca/dp/B0FBSBCHTQ
B0FBSCFKJS,B0FBSCFKJS_Venison-Salami-125g,Game Meat Sliced Salami,Venison + Pork & Beef,Venison,sliced,125 g,691392231044,10.08,10.99,Available,https://www.amazon.ca/dp/B0FBSCFKJS
B0FBSCNBHS,B0FBSCNBHS_WildBoar-Salami-125g,Game Meat Sliced Salami,Wild Boar + Pork & Beef,Wild Boar,sliced,125 g,691392231051,10.08,11.89,Available,https://www.amazon.ca/dp/B0FBSCNBHS
B0FBS8TMCQ,B0FBS8TMCQ_GrassFed-Angus-Salami-125g,Grass-Fed Angus Sliced Salami,Grass-Fed Angus Beef & Pork,Angus,sliced,125 g,691392221014,10.08,,Available,https://www.amazon.ca/dp/B0FBS8TMCQ
